"date","follower","newfollower","following","newfollowing","post","newpost"
"2020-02-29","18579580","","1046","","12588",""
"2020-03-01","18587409","+7829","1045","-1","12592","+4"
"2020-03-02","18595522","+8113","1046","+1","12597","+5"
"2020-03-03","18603033","+7511","1045","-1","12600","+3"
"2020-03-04","18607498","+4465","1046","+1","12588","-12"
"2020-03-05","18612973","+5475","1046","0","12591","+3"
"2020-03-06","18620051","+7078","1048","+2","12596","+5"
"2020-03-07","18629628","+9577","1049","+1","12599","+3"
"2020-03-08","18637484","+7856","1048","-1","12603","+4"
"2020-03-09","18650086","+12602","1048","0","12606","+3"
"2020-03-10","18674765","+24679","1050","+2","12611","+5"
"2020-03-11","18693681","+18916","1050","0","12617","+6"
"2020-03-12","18724505","+30824","1052","+2","12620","+3"
"2020-03-13","18767703","+43198","1053","+1","12625","+5"
"2020-03-14","18805710","+38007","1057","+4","12628","+3"
"2020-03-15","18841311","+35601","1063","+6","12633","+5"
"2020-03-16","18881373","+40062","1066","+3","12636","+3"
"2020-03-17","18908318","+26945","1068","+2","12640","+4"
"2020-03-18","18928028","+19710","1070","+2","12642","+2"
"2020-03-19","18949368","+21340","1072","+2","12647","+5"
"2020-03-20","18976069","+26701","1074","+2","12654","+7"
"2020-03-21","18995438","+19369","1074","0","12657","+3"
"2020-03-22","19014230","+18792","1074","0","12660","+3"
"2020-03-23","19042376","+28146","1076","+2","12664","+4"
"2020-03-24","19065989","+23613","1077","+1","12670","+6"
"2020-03-25","19081625","+15636","1079","+2","12675","+5"
"2020-03-26","19104513","+22888","1079","0","12679","+4"
"2020-03-27","19125048","+20535","1081","+2","12683","+4"
"2020-03-28","19144686","+19638","1083","+2","12687","+4"
"2020-03-29","19162421","+17735","1082","-1","12692","+5"
"2020-03-30","19183300","+20879","1083","+1","12697","+5"
"2020-03-31","19200689","+17389","1083","0","12702","+5"
"2020-04-02","19232665","+31976","1086","+3","12713","+11"
"2020-04-04","19265583","+32918","1088","+2","12723","+10"
"2020-04-05","19284419","+18836","1088","0","12728","+5"
"2020-04-07","19316693","+32274","1091","+3","12738","+10"
"2020-04-09","19364436","+47743","1091","0","12745","+7"
"2020-04-11","19405944","+41508","1093","+2","12752","+7"
"2020-04-13","19446350","+40406","1094","+1","12763","+11"
"2020-04-15","19486585","+40235","1097","+3","12772","+9"
"2020-04-17","19542216","+55631","1099","+2","12783","+11"
"2020-04-19","19586628","+44412","1103","+4","12791","+8"
"2020-04-20","19595950","+9322","1103","0","12794","+3"
"2020-04-21","19613561","+17611","1104","+1","12800","+6"
"2020-04-22","19628067","+14506","1104","0","12805","+5"
"2020-04-23","19644235","+16168","1107","+3","12810","+5"
"2020-04-24","19662160","+17925","1108","+1","12813","+3"
"2020-04-25","19685761","+23601","1110","+2","12819","+6"
"2020-04-26","19708978","+23217","1111","+1","12824","+5"
"2020-04-27","19728088","+19110","1111","0","12831","+7"
"2020-04-28","19746723","+18635","1112","+1","12834","+3"
"2020-04-29","19766688","+19965","1112","0","12838","+4"
"2020-04-30","19784306","+17618","1115","+3","12841","+3"
"2020-05-01","19802683","+18377","1116","+1","12845","+4"
"2020-05-02","19819521","+16838","1116","0","12849","+4"
"2020-05-03","19838204","+18683","1117","+1","12854","+5"
"2020-05-04","19854976","+16772","1118","+1","12860","+6"
"2020-05-05","19873233","+18257","1118","0","12864","+4"
"2020-05-06","19887538","+14305","1118","0","12871","+7"
"2020-05-07","19903334","+15796","1120","+2","12876","+5"
"2020-05-08","19930011","+26677","1120","0","12882","+6"
"2020-05-09","19951827","+21816","1120","0","12885","+3"
"2020-05-10","19967867","+16040","1121","+1","12889","+4"
"2020-05-11","19983526","+15659","1121","0","12896","+7"
"2020-05-12","20000863","+17337","1121","0","12900","+4"
"2020-05-13","20016508","+15645","1122","+1","12904","+4"
"2020-05-14","20030813","+14305","1127","+5","12908","+4"
"2020-05-15","20046979","+16166","1128","+1","12914","+6"
"2020-05-16","20061458","+14479","1128","0","12919","+5"
"2020-05-17","20074847","+13389","1130","+2","12925","+6"
"2020-05-18","20088396","+13549","1132","+2","12932","+7"
"2020-05-19","20101828","+13432","1133","+1","12936","+4"
"2020-05-20","20112876","+11048","1133","0","12943","+7"
"2020-05-21","20125128","+12252","1133","0","12949","+6"
"2020-05-22","20136379","+11251","1136","+3","12955","+6"
"2020-05-23","20145973","+9594","1138","+2","12960","+5"
"2020-05-24","20155687","+9714","1140","+2","12965","+5"
"2020-05-25","20168063","+12376","1139","-1","12968","+3"
"2020-05-27","20191743","+23680","1140","+1","12977","+9"
"2020-05-28","20200946","+9203","1142","+2","12983","+6"
